keyword,monthly_searches,difficulty,verdal_rank,opportunity
why are my monstera leaves turning yellow,8100,low,not ranked,high
how often to water snake plant,6600,low,18,medium
best plant food for indoor plants,5400,medium,not ranked,high
how to repot a root bound plant,3600,low,not ranked,high
signs of overwatering,4900,low,24,medium
liquid fertilizer vs slow release,1900,low,not ranked,high
why is my plant not growing,2400,low,31,medium
plant care routine for beginners,3100,medium,not ranked,high
green lipped mussel for plants,320,low,not ranked,high
how to fix leggy plant,1600,low,not ranked,medium
