brand,days_ago,platform,format,caption,likes,comments,engagement_rate
The Sill,11,Instagram,carousel,5 signs your plant is thirsty,3120,88,4.9%
The Sill,8,Instagram,reel,Repotting a pothos in 30 seconds,8400,142,7.8%
The Sill,4,Instagram,single,New terracotta planters just dropped,1980,41,3.1%
Bloomscape,10,Instagram,carousel,Your low-light plant starter kit,2760,73,4.4%
Bloomscape,6,Instagram,reel,Why your leaves have brown tips,6100,119,6.9%
Bloomscape,2,Instagram,single,Free shipping this week only,1440,22,2.4%
Leon and George,9,Instagram,single,The perfect plant for a dim corner,2210,38,3.6%
Leon and George,5,Instagram,carousel,How we style plants in a small flat,3480,64,5.2%
Leon and George,1,Instagram,reel,Unboxing a 4ft bird of paradise,7300,131,7.4%
Verdal,7,Instagram,carousel,Why are the leaves yellow,2540,59,4.5%
Verdal,3,Instagram,reel,One drop a day for stronger roots,4900,96,6.2%
